vuln_type,attn_model,n_layers,n_qubits,num_params,best_val_f1,final_val_accuracy,final_val_precision,final_val_recall,final_val_f1,final_val_roc_auc,final_val_pr_auc,final_train_f1
integeroverflow,IQP,1,4,331,0.9778,0.9839,0.9565,1.0000,0.9778,0.9852,0.9642,0.9112
integeroverflow,HEA,1,4,332,0.9545,0.9677,0.9545,0.9545,0.9545,0.9977,0.9960,0.8538
integeroverflow,QAOA,1,4,331,0.9778,0.9839,0.9565,1.0000,0.9778,0.9966,0.9938,0.8276
integeroverflow,IQP,3,4,347,0.9333,0.9516,0.9524,0.9091,0.9302,0.9966,0.9941,0.8876
integeroverflow,HEA,3,4,348,0.9524,0.9677,1.0000,0.9091,0.9524,0.9955,0.9925,0.8994
integeroverflow,QAOA,3,4,347,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8727
integeroverflow,IQP,5,4,363,0.9778,0.9839,0.9565,1.0000,0.9778,0.9943,0.9891,0.8471
integeroverflow,HEA,5,4,364,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8875
integeroverflow,QAOA,5,4,363,0.9333,0.9516,0.9130,0.9545,0.9333,0.9739,0.9456,0.8696
integeroverflow,IQP,1,8,723,0.9778,0.9839,1.0000,0.9545,0.9767,0.9989,0.9980,0.9277
integeroverflow,HEA,1,8,724,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8982
integeroverflow,QAOA,1,8,723,0.9778,0.9839,0.9565,1.0000,0.9778,1.0000,1.0000,0.9167
integeroverflow,IQP,3,8,755,0.9778,0.9839,0.9565,1.0000,0.9778,0.9989,0.9980,0.9333
integeroverflow,HEA,3,8,756,0.9778,0.9839,0.9565,1.0000,0.9778,1.0000,1.0000,0.9048
integeroverflow,QAOA,3,8,755,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9317
integeroverflow,IQP,5,8,787,0.9778,0.9839,0.9565,1.0000,0.9778,0.9977,0.9960,0.9112
integeroverflow,HEA,5,8,788,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9286
integeroverflow,QAOA,5,8,787,1.0000,0.9839,1.0000,0.9545,0.9767,0.9989,0.9980,0.9294
integeroverflow,IQP,1,16,1699,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9630
integeroverflow,HEA,1,16,1700,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9565
integeroverflow,QAOA,1,16,1699,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9634
integeroverflow,IQP,3,16,1763,0.9778,0.9839,0.9565,1.0000,0.9778,1.0000,1.0000,0.9506
integeroverflow,HEA,3,16,1764,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9512
integeroverflow,QAOA,3,16,1763,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9576
integeroverflow,IQP,5,16,1827,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9581
integeroverflow,HEA,5,16,1828,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9506
integeroverflow,QAOA,5,16,1827,0.9778,0.9677,0.9545,0.9545,0.9545,0.9989,0.9980,0.9506
reentrancy,IQP,1,4,331,0.8108,0.8689,0.7500,0.8333,0.7895,0.8643,0.7329,0.6892
reentrancy,HEA,1,4,332,0.7619,0.8197,0.6400,0.8889,0.7442,0.8501,0.7386,0.6289
reentrancy,QAOA,1,4,331,0.8421,0.9016,0.8000,0.8889,0.8421,0.8979,0.7987,0.6906
reentrancy,IQP,3,4,347,0.8000,0.8525,0.7143,0.8333,0.7692,0.8863,0.6850,0.6667
reentrancy,HEA,3,4,348,0.8205,0.8689,0.7273,0.8889,0.8000,0.8915,0.7492,0.6944
reentrancy,QAOA,3,4,347,0.8205,0.8525,0.7368,0.7778,0.7568,0.8669,0.6875,0.6993
reentrancy,IQP,5,4,363,0.8000,0.8525,0.7143,0.8333,0.7692,0.8824,0.6889,0.6822
reentrancy,HEA,5,4,364,0.8205,0.8689,0.7500,0.8333,0.7895,0.9083,0.7251,0.6986
reentrancy,QAOA,5,4,363,0.8000,0.8689,0.7273,0.8889,0.8000,0.8501,0.6340,0.6667
reentrancy,IQP,1,8,723,0.8421,0.9016,0.8000,0.8889,0.8421,0.8837,0.7274,0.7556
reentrancy,HEA,1,8,724,0.8205,0.8852,0.7619,0.8889,0.8205,0.9109,0.7720,0.7083
reentrancy,QAOA,1,8,723,0.7805,0.8525,0.7143,0.8333,0.7692,0.9031,0.7194,0.7483
reentrancy,IQP,3,8,755,0.8205,0.8525,0.6957,0.8889,0.7805,0.9096,0.8191,0.7211
reentrancy,HEA,3,8,756,0.7895,0.8525,0.7143,0.8333,0.7692,0.9212,0.8318,0.7910
reentrancy,QAOA,3,8,755,0.8205,0.8689,0.7500,0.8333,0.7895,0.9134,0.8234,0.7534
reentrancy,IQP,5,8,787,0.8205,0.8525,0.7647,0.7222,0.7429,0.8734,0.6804,0.7429
