vuln_type,attn_model,n_layers,n_qubits,num_params,best_val_f1,final_val_accuracy,final_val_precision,final_val_recall,final_val_f1,final_val_roc_auc,final_val_pr_auc,final_train_f1,IQP,HEA,QAOA
integeroverflow,HEA,1,4,332,0.9545,0.9677,0.9545,0.9545,0.9545,0.9977,0.996,0.8538,HEA,HEA,HEA
integeroverflow,HEA,3,4,348,0.9524,0.9677,1.0,0.9091,0.9524,0.9955,0.9925,0.8994,HEA,HEA,HEA
integeroverflow,HEA,5,4,364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8875,HEA,HEA,HEA
integeroverflow,HEA,1,8,724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8982,HEA,HEA,HEA
integeroverflow,HEA,3,8,756,0.9778,0.9839,0.9565,1.0,0.9778,1.0,1.0,0.9048,HEA,HEA,HEA
integeroverflow,HEA,5,8,788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9286,HEA,HEA,HEA
integeroverflow,HEA,1,16,1700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565,HEA,HEA,HEA
integeroverflow,HEA,3,16,1764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9512,HEA,HEA,HEA
integeroverflow,HEA,5,16,1828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9506,HEA,HEA,HEA
reentrancy,HEA,1,4,332,0.7619,0.8197,0.64,0.8889,0.7442,0.8501,0.7386,0.6289,HEA,HEA,HEA
reentrancy,HEA,3,4,348,0.8205,0.8689,0.7273,0.8889,0.8,0.8915,0.7492,0.6944,HEA,HEA,HEA
reentrancy,HEA,5,4,364,0.8205,0.8689,0.75,0.8333,0.7895,0.9083,0.7251,0.6986,HEA,HEA,HEA
reentrancy,HEA,1,8,724,0.8205,0.8852,0.7619,0.8889,0.8205,0.9109,0.772,0.7083,HEA,HEA,HEA
reentrancy,HEA,3,8,756,0.7895,0.8525,0.7143,0.8333,0.7692,0.9212,0.8318,0.791,HEA,HEA,HEA
reentrancy,HEA,5,8,788,0.8205,0.8689,0.7273,0.8889,0.8,0.9186,0.7808,0.7162,HEA,HEA,HEA
reentrancy,HEA,1,16,1700,0.8421,0.8852,0.7619,0.8889,0.8205,0.9186,0.8111,0.7714,HEA,HEA,HEA
reentrancy,HEA,3,16,1764,0.8108,0.8852,0.7895,0.8333,0.8108,0.9212,0.8497,0.7463,HEA,HEA,HEA
reentrancy,HEA,5,16,1828,0.8205,0.8852,0.7619,0.8889,0.8205,0.8953,0.7703,0.7647,HEA,HEA,HEA
timestamp,HEA,1,4,332,0.7872,0.7407,0.7805,0.7273,0.7529,0.8633,0.8989,0.612,HEA,HEA,HEA
timestamp,HEA,3,4,348,0.8352,0.8148,0.8085,0.8636,0.8352,0.8861,0.8843,0.7437,HEA,HEA,HEA
timestamp,HEA,5,4,364,0.704,0.642,0.8571,0.4091,0.5538,0.77,0.8123,0.6054,HEA,HEA,HEA
timestamp,HEA,1,8,724,0.8315,0.8025,0.8043,0.8409,0.8222,0.8971,0.9168,0.7933,HEA,HEA,HEA
timestamp,HEA,3,8,756,0.8132,0.7901,0.7872,0.8409,0.8132,0.8689,0.8951,0.7784,HEA,HEA,HEA
timestamp,HEA,5,8,788,0.7907,0.7654,0.8049,0.75,0.7765,0.8252,0.861,0.7688,HEA,HEA,HEA
timestamp,HEA,1,16,1700,0.809,0.7778,0.7955,0.7955,0.7955,0.8326,0.8603,0.7479,HEA,HEA,HEA
timestamp,HEA,3,16,1764,0.8539,0.8272,0.8409,0.8409,0.8409,0.8498,0.8937,0.7684,HEA,HEA,HEA
timestamp,HEA,5,16,1828,0.8444,0.7531,0.8,0.7273,0.7619,0.8682,0.8804,0.7784,HEA,HEA,HEA
delegatecall,HEA,1,4,332,0.8696,0.925,0.8333,0.9091,0.8696,0.9718,0.9307,0.9038,HEA,HEA,HEA
delegatecall,HEA,3,4,348,0.8,0.875,0.7143,0.9091,0.8,0.9624,0.9087,0.902,HEA,HEA,HEA
delegatecall,HEA,5,4,364,0.8696,0.9,0.8182,0.8182,0.8182,0.9592,0.9199,0.8846,HEA,HEA,HEA
delegatecall,HEA,1,8,724,0.8,0.875,0.7143,0.9091,0.8,0.9498,0.8297,0.9074,HEA,HEA,HEA
delegatecall,HEA,3,8,756,0.8696,0.875,0.7143,0.9091,0.8,0.9655,0.9184,0.9174,HEA,HEA,HEA
delegatecall,HEA,5,8,788,0.8333,0.9,0.7692,0.9091,0.8333,0.9592,0.8716,0.9143,HEA,HEA,HEA
delegatecall,HEA,1,16,1700,0.8,0.875,0.7143,0.9091,0.8,0.9624,0.9126,0.9245,HEA,HEA,HEA
delegatecall,HEA,3,16,1764,0.8333,0.875,0.7143,0.9091,0.8,0.9592,0.8996,0.9091,HEA,HEA,HEA
delegatecall,HEA,5,16,1828,0.88,0.875,0.75,0.8182,0.7826,0.9655,0.9153,0.9515,HEA,HEA,HEA
